id,name,lat,lng
229,CE-181 Benjamín Franklin - Ometusco,19.404825,-99.174722
230,CE-246 Leibnitz-Thiers,19.434147,-99.179835
231,CE-479 Lago Muritz-Av.Marina Nacional,19.444433,-99.179664
232,CE-281 Pitágoras-La Morena,19.398532,-99.157308
233,CE-480 Lago Iseo-Av. Marina Nacional,19.446073,-99.181654
234,CE-041 Reforma - Av. de la República,19.43542,-99.150317
235,CE-226 Wallon-Presidente Masaryk,19.431044,-99.182206
236,CE-468 Lago Xochimilco-Av. Ejército Nacional,19.43725,-99.179573
237,CE-256 Gómez Farías-Sadi Carnot,19.437128,-99.158363
238,CE-119 Turín-Abraham González,19.426852,-99.155628
239,CE-475 Lago Muritz-Lago Alberto,19.439249,-99.181065
240,CE-010 Reforma - Ramírez,19.433431,-99.155142
241,CE-450 Ramos Arizpe- Av México Tenochtitlan,19.438326,-99.152238
242,CE-555 Ribera de San Cosme - Insurgentes Centro,19.440216,-99.156168
243,CE-270 De la República-Ponciano Arriaga,19.436764,-99.153865
244,CE-248 Shakespeare-Lafayette,19.43175,-99.177399
245,CE-476 Lago Como-Laguna de Mayrán,19.442127,-99.184433
246,CE-174 Joaquín Garcia Icazbalceta-Ignacio Manuel Altamirano,19.441133,-99.161703
247,CE-237-238 Andrés Bello-George Eliot,19.426744,-99.193986
249,CE-124 Claudio Bernard-Dr. Liceaga,19.422392,-99.150358
250,CE-082 Independencia - Marroquí,19.433344,-99.14404
251,CE-262 República de Cuba-República de Brasil,19.436931,-99.133952
252,CE-235-236 Campos Elíseos-Moliere,19.429332,-99.202181
253,CE-104 San Jerónimo-Isabel la Católica,19.427059,-99.137116
254,CE-136 Álvaro Obregón-Tonalá,19.417715,-99.162729
255,CE-183 Gabino Barreda-Guillermo Prieto,19.437665,-99.164018
256,CE-095 20 de Noviembre-Venustiano Carranza,19.430683,-99.133701
257,CE-036 Puebla - Veracruz,19.41966,-99.17588
258,CE-063 Nuevo León - Laredo,19.413091,-99.17162
259,CE-087 Gante - Venustiano Carranza,19.432024,-99.139705
260,CE-020 Reforma- Río Támesis,19.430862,-99.160259
261,CE-015 Reforma - Río Mississippi,19.425597,-99.171409
262,CE-075 Alfonso Reyes - Atlixco,19.408741,-99.176774
263,CE-017 Reforma - Río Tiber,19.427553,-99.167396
264,CE-080 Nuevo León - Aguascalientes,19.40724,-99.172077
265,CE-023 Reforma - Praga,19.42528,-99.171099
266,CE-085 Rosas Moreno - Sullivan,19.434059,-99.162438
267,CE-014 Reforma - Río de Plata,19.42454,-99.173247
268,CE-135 Álvaro Obregón-Morelia,19.419251,-99.155039
269,CE-089 República de Guatemala - Monte de Piedad,19.434962,-99.133729
270,CE-133 Colima-Morelia,19.421138,-99.154725
271,CE-141 Zacatecas-Luis Cabrera,19.415905,-99.15954
272,CE-092 San Ildefonso-República de Argentina,19.436531,-99.131497
273,CE-470 Bahía de Las Palmas-Bahía de Todos Los Santos,19.435039,-99.173879
275,CE-239 Rincón del Bosque-Ruben Darío,19.430153,-99.181355
276,CE-656 Ignacio Allende - Paris,19.354311,-99.162436
277,CE-305 Avenida del Parque-Arizona,19.394693,-99.175531
278,CE-121 Niza-Chapultepec,19.424178,-99.16115
279,CE-027 Reforma- Havre,19.42916,-99.162703
280,CE-252 Víctor Hugo-Shakespeare,19.427575,-99.17702
281,CE-251 Goethe-Darwin,19.429261,-99.17538
282,CE-117 Londres-Nápoles,19.427167,-99.160291
283,CE-250 Darwin-Mariano Escobedo,19.428949,-99.179796
284,CE-217 Euler-Horacio,19.432851,-99.183545
285,CE-224 Hegel-Presidente Masaryk,19.431115,-99.188082
286,CE-215 Edgar Alan Poe-Horacio,19.43384,-99.19968
287,CE-202 Calderón de la Barca-Av. Homero,19.436064,-99.198898
288,CE-240 Ejército Nacional-F.C. de Cuernavaca,19.438634,-99.206291
289,CE-047 Plaza Madrid-Medellín,19.419506,-99.166365
290,CE-258 Circuito Interior-Juan Escutia,19.41653,-99.179044
291,CE-011 Río Amazonas - Río Lerma,19.431192,-99.163546
292,CE-001 Río Sena-Río Balsas,19.433478,-99.16779
293,CE-103 Joaquín Velázquez de León - García Icazbalceta,19.441533,-99.165268
294,CE-013 Reforma - Río Mississippi,19.424941,-99.17233
295,CE-018 Reforma - Río Rhin,19.428802,-99.164381
296,CE-038 Cozumel - Puebla,19.420829,-99.171421
297,CE-449 Acapulco-Puebla,19.420281,-99.174392
298,CE-028 Toledo- Tokio,19.423664,-99.172568
299,CE-034 Liverpool - Génova,19.424728,-99.163348
300,CE-232 Taine - Rubén Darío,19.42894,-99.185389
301,CE-227 Campos Elíseos-Periférico,19.431783,-99.207381
302,CE-211 Isaac Newton-Horacio,19.43385,-99.188275
303,CE-478 Laguna de Mayrán-Lago Chalco,19.440818,-99.176961
304,CE-474 Bahía de San Hipólito-Bahía del Espíritu Santo,19.438984,-99.177549
305,CE-176 Av. Jesús García-Luis Donaldo Colosio,19.442717,-99.152262
306,CE-244 Lago Victoria-Miguel de Cervantes Saavedra,19.440508,-99.193681
307,CE-219 Esopo-FC de Cuernavaca,19.433364,-99.207553
309,CE-465 Lago Ginebra-Lago Wetter,19.445039,-99.194078
311,CE-257 Manuel Maria Contreras-Villalongin,19.433803,-99.166223
