id,name
161,(GDL-094) C. Manuel Cambre / C. Andrés Teran
162,(GDL-095)  C. Mariano Bárcena / Maestros
163,(GDL-096) C. Jesús García / C. González Orte
164,(GDL-097) C.Jesús García / C. Juan N Cumplido
165,(GDL-098) Calz. Federalismo / Av. Maestros
166,(GDL-099) C. Eulogio Parra /C.González Ortega
167,(GDL-100) C. Ayuntamiento/C. A. R. Plasencia
168,(GDL-101) C. Amado Nervo /C. José María Vigil
169,(GDL-102) C. María Vigil/C. Manuel M. Dieguez
170,(GDL-103) J. Clemente Orozco /C. Jesús García
171,(GDL-104) C. Pedro Loza / Av. Manuel Acuña
172,(GDL-105) C. Pino Suárez / C. Joaquin Angulo
173,(GDL-106) C. Juan Álvarez / C. Belén
174,(GDL-107) Calz. Federalismo/C. J. María Vigil
175,(GDL-108) C. Hospital / C. Alameda
176,(GDL-109) C. Eulogio Parra / Av. Américas
177,(GDL-110) C. Manuel Diéguez/Av. Eulogio Parra
178,(GDL-111) C. José Palomar / C. Hospital
179,(GDL-112) C. C. Orozco/C. Gral. Eulogio Parra
180,(GDL-113) C. Ghilardi / C. Arista
181,(GDL-114) C. Monte Cáucaso / C. Alameda
182,(GDL-115) Calz. Federalismo / C. Fco. Zarco
183,(GDL-116) Av Manuel Acuña/C. Pablo Villaseñor
184,(GDL-117) Av Manuel Acuña / C Fray Fco Frejes
185,(GDL-118) C. Antonio de León / C. Garibaldi
186,(GDL-119) C. Fco Rojas González /C. Garibaldi
187,(GDL-120) C. Agustín de la Rosa /C. Garibaldi
188,(GDL-121) C. Tomás V. Gómez / Av. México
189,(GDL-122) C. Fray Luis DePalacio/ Av. México
190,(GDL-123) C. Aurelio L. Gallardo / Av. México
191,(GDL-124) C. Severo Díaz / C. Justo Sierra
192,(GDL-125) C. Pablo Villaseñor / Av. Hidalgo
193,(GDL-126) C. Aurelio L. Gallardo / Av Hidalgo
194,(GDL-127) Av. Vallarta / Av. de Los Arcos
195,(GDL-128) Av. Morelos / C. Emilio Castelar
196,(GDL-129) C. Lope de Vega / Av. Vallarta
197,(GDL-130) C. J. Ruíz de Alarcón / Av Vallarta
198,(GDL-131) C. Emilio Castelar / Av. La Paz
199,(GDL-132) C. Lope de Vega / Av. La Paz
200,(GDL-133) C. J. Ruíz de Alarcón / Av. La Paz
201,(GDL-134) C. Agustín Yáñez / C. Fco Ugarte
202,(GDL-135) C. Victoriano Agüeros / Av. Unión
203,(GDL-136) C. Lope de Vega/C. Efraín Glez Luna
204,(GDL-137) C. Ruíz de Alarcón/C. Efraín G Luna
205,(GDL-138) C. de la Nebulosa / C. Placeres
206,(GDL-139) C. Firmamento / Av. Niños Héroes
207,(GDL-140) C. Constelación / Av. de los Arcos
208,(GDL-141) C. Ruíz de Alarcón/C. Agustín Yáñez
209,(GDL-142) C. De la Nebulosa / C. Firmamento
210,(GDL-143) C. Eclipse / Av. de Los Arcos
211,(GDL-144) C. Primo Feliciano / C. San Gabriel
212,(GDL-145) C. San Miguel / Av. San Francisco
213,(GDL-146) Av. Guadalupe / C. Boturini
214,(GDL-147) Calz. Lázaro Cárdenas/Av. Guadalupe
215,(GDL-148) C. San Rafael / Av. Tepeyac
216,(GDL-149) Calz. Lázaro Cárdenas/López Mateos
217,(GDL-150) C. Asunción / Av. Chapalita
218,(GDL-151) C. Capuchinas / Av. Chapalita
219,(GDL-152) Parque de las Estrellas/C. Orión
220,(GDL-153) C. Crepúsculo / Av. Tonantzin
